id,type,title,surface,url
8997289,apartment,SUPERBE GRAND STUDIO LUMINEUX - INVESTISSEMENT IDEAL,1,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Uccle/1180/8997289
9034494,apartment,"à 400 m de la place Dumon, magnifique APPARTEMENT neuf en du",6,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Kraainem/1950/9034494
9038896,apartment,Loncin : Appartement neuf avec terrasse !,5,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Ans/4430/9038896
9039433,apartment,MAGNIFIQUE APPARTEMENT 3 CH RENOVE AVEC TERRASSE 135 M² !,135,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Uccle/1180/9039433
9039311,apartment,VITAL,25,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Anvers/2060/9039311
9039019,apartment,"Abbaye de la Cambre, appartement panoramique 213 m² 3 ch.",39,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Ixelles/1050/9039019
9041098,apartment group,Conditions exceptionnelles valables jusqu'au 31/12,None,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Marcinelle/6001/9041098
9038897,apartment,Loncin : Appartements neufs avec terrasse !,5,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Ans/4430/9038897
9037014,apartment,APPARTEMENT D'EXCEPTION,6,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Anderlecht/1070/9037014
8603832,apartment group,Appartements neufs dans le centre de Wielsbeke,None,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Wielsbeke/8710/8603832
9038507,apartment,Appartement,Oui,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Blankenberge/8370/9038507
9037272,apartment group,RESIDENCE DE QUALITE SITUEE AU CALME (2EME PHASE),None,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Bois%20de%20Villers/5170/9037272
9039312,apartment,Appartement,1,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Gand/9000/9039312
9037648,apartment group,Savoir vivre.,None,https://www.immoweb.be/fr/annonce/appartement/a-vendre/LAKEN/1020/9037648
9037183,apartment,A VENDRE CHEZ LANDBERGH: appartement à Gentbrugge,Oui,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Gentbrugge/9050/9037183
9034495,apartment,"au coeur du quartier universitaire (ULB, VUB), beau STUDIO n",9,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Auderghem/1160/9034495
9036522,apartment group,Les Viviers : Excellent investissement aux portes du BW,None,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Seneffe/7180/9036522
9036417,apartment,!!! OPPORTUNITE A SAISIR !!! Appartement 70m2,2,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Molenbeek-St-Jean/1080/9036417
9035995,apartment,Appartement met 2 slaapkamers.,8,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Halle/1500/9035995
9035930,apartment,! NEW !  1 Chambre - 52m² - Etterbeek,4,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Etterbeek/1040/9035930
9033767,apartment,Visite de chantier tous les samedis de 14h à 17h sur rdv,Oui,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Marcinelle/6001/9033767
9041253,apartment,Limite Schaerbeek Appartement complètement remis à neuf en 2,3,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Schaerbeek/1030/9041253
9033790,apartment,Visite de chantier tous les samedis de 14h à 17h sur rdv,15,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Marcinelle/6001/9033790
9034656,apartment,Logement à assistance avec terrasse,Oui,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Sint-Idesbald/8670/9034656
9035334,apartment,LA MAGNANERIE 7IEME AP 1 CH + 2TERRASSES,15,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Forest/1190/9035334
9020689,apartment,Super appartement 3 chambres lumineux avec magnifique vue,Oui,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Li%C3%A8ge/4000/9020689
9040974,apartment,mansarde,6,https://www.immoweb.be/fr/annonce/appartement/a-vendre/EINE/9700/9040974
9035045,apartment group,Een exclusief woonproject met een eigen karakter gelegen in,None,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Alost/9300/9035045
9034364,apartment,Appartement au centre de Roulers,Oui,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Roulers/8800/9034364
9033817,apartment,Visite de chantier tous les samedis de 14h à 17h sur rdv,30,https://www.immoweb.be/fr/annonce/appartement/a-vendre/Marcinelle/6001/9033817
id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,primaryEnergyConsumptionLevel,room_number,surface,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,m2,commune
9041098,apartment group,apartment group,165000 - 420000,for sale,6001,xl,,,,,,,,,,,,,1400721,concept confort sprl,64,Marcinelle
9039311,apartment,loft,360500,for sale,2060,xl,installed,1918,good,gas,,2,,,true,,1,,348077,trevi gent,114,Anvers
9039312,apartment,apartment,358000,for sale,9000,xl,installed,1969,good,gas,,2,,,true,,,,348077,trevi gent,85,Gand
8997289,apartment,flat studio,224500,for sale,1180,xl,hyper equipped,1950,good,gas,,1,,,,,,,1731013,orientations,52,Uccle
9039019,apartment,apartment,1550000,for sale,1050,xl,usa hyper equipped,2017,as new,gas,,3,,,,,,1,2595964,lecobel vaneau vente neuf,213,Ixelles
9039433,apartment,apartment,780000,for sale,1180,xl,usa hyper equipped,1962,just renovated,gas,,3,,,true,,1,1,1942392,bathim &amp; co,190,Uccle
9038896,apartment,apartment,210000,for sale,4430,xl,installed,2020,as new,gas,,2,,,true,,,1,558223,cd consult,77,Ans
9034494,apartment,apartment,715000,for sale,1950,xl,usa hyper equipped,2020,as new,gas,,2,,,true,,1,1,2352,latour et petit vente,126,Kraainem
9038507,apartment,duplex,199000,for sale,8370,xl,installed,2004,good,gas,,2,,,true,,,,2759428,immo marina,87,Blankenberge
8603832,apartment group,apartment group,165000 - 449000,for sale,8710,xl,,,,,,,,,,,,,1600308,dewaele | vastgoed met advies waregem,58,Wielsbeke
9038897,apartment,apartment,250000,for sale,4430,xl,installed,2020,as new,gas,,2,,,true,,,1,558223,cd consult,97,Ans
9037648,apartment group,apartment group,614000 - 614000,for sale,1020,xl,,,,,,,,,,,,,2019,structura,250,LAKEN
9034656,apartment,service flat,320000,for sale,8670,xl,usa hyper equipped,2019,as new,gas,,1,,,,,,,1361501,immo la terrasse,57,Sint-Idesbald
9037272,apartment group,apartment group,210000 - 225000,for sale,5170,xl,,,,,,,,,,,,10,2164972,century 21 la clé,78,Bois%20de%20Villers
9034495,apartment,flat studio,239500,for sale,1160,xl,usa hyper equipped,2022,as new,gas,,0,,,,,,,2352,latour et petit vente,46,Auderghem
9037183,apartment,apartment,265000,for sale,9050,xl,installed,2015,as new,gas,,1,,,,,,,2118760,landbergh,76,Gentbrugge
9037014,apartment,apartment,288000,for sale,1070,xl,usa hyper equipped,1991,as new,gas,,2,,,true,,,,3672925,,88,Anderlecht
9036522,apartment group,apartment group,155000 - 200000,for sale,7180,xl,,,,,,,,,,,,,2658049,les viviers properties,61,Seneffe
9035930,apartment,apartment,229000,for sale,1040,xl,usa installed,1975,as new,gas,,1,,,true,,,,2305,abita agence immobilière scrl,52,Etterbeek
9041253,apartment,apartment,197500,for sale,1030,xl,hyper equipped,1980,just renovated,gas,,1,,,true,,1,,1229100,direct immo,70,Schaerbeek
9033790,apartment,apartment,265000,for sale,6001,xl,hyper equipped,2020,as new,gas,,2,,,true,,7,10,1400721,concept confort sprl,104,Marcinelle
9036417,apartment,apartment,169000,for sale,1080,xl,not installed,1960,to renovate,gas,,2,,,true,,,,2953237,realor  properties,70,Molenbeek-St-Jean
9040974,apartment,apartment,280000,for sale,9700,xl,installed,2013,good,gas,,3,,,,,,1,1574509,axel lenaerts makelaars oudenaarde bvba,140,EINE
9035995,apartment,apartment,198000,for sale,1500,xl,semi equipped,1966,good,gas,,2,,,true,,,,989034,pajota halle,87,Halle
9033767,apartment,apartment,165000,for sale,6001,xl,hyper equipped,2020,as new,gas,,1,,,true,,8,10,1400721,concept confort sprl,64,Marcinelle
9033817,apartment,apartment,320000,for sale,6001,xl,hyper equipped,2020,as new,gas,,3,,,true,,7,10,1400721,concept confort sprl,120,Marcinelle
9035334,apartment,apartment,198000,for sale,1190,xl,installed,1960,good,gas,,1,,,true,,,1,2446317,bk &amp; partners,76,Forest
9035045,apartment group,apartment group,199500 - 525000,for sale,9300,xl,,,,,,,,,,,,,3652590,bricks immobiliën,64,Alost
9034364,apartment,apartment,235000,for sale,8800,xl,installed,1992,as new,gas,,3,,,,,,,2547553,albert vastgoed,141,Roulers
9020689,apartment,apartment,289000,for sale,4000,xl,hyper equipped,1964,as new,gas,,3,,,true,,1,,1987737,,149,Li%C3%A8ge
id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,primaryEnergyConsumptionLevel,room_number,surface,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,m2,commune
9039312,apartment,apartment,358000,for sale,9000,xl,installed,1969,good,gas,,2,,,true,,,,348077,trevi gent,85,Gand
9038896,apartment,apartment,210000,for sale,4430,xl,installed,2020,as new,gas,,2,,,true,,,1,558223,cd consult,77,Ans
